user_id,school_id,review,rating
1,700910011,I appreciate the diversity and inclusivity at this school.,2.1
20,700400393,The school's communication with parents is very effective.,3.9
10,700121210,I would recommend this school to other parents.,3.3
12,700350561,"Overall, a great place for learning and growth.",4.8
19,700915064,There are frequent updates about school events.,1.8
16,700400277,"Overall, a great place for learning and growth.",3.3
2,700320291,The cafeteria food could be better.,3.7
8,700231522,I would recommend this school to other parents.,2.3
4,700231530,My child enjoys going to this school every day.,4.9
6,700211276,There are plenty of resources available for students.,2.2
4,700320937,The school's communication with parents is very effective.,1.5
15,700152033,"Overall, a great place for learning and growth.",4.6
1,700400391,I love the extracurricular activities offered here.,4.9
12,700910158,The academic performance of the school is top-notch!,1.8
3,700910169,My child enjoys going to this school every day.,3.5
19,700221474,The school provides a safe and nurturing environment.,4.4
5,700350595,There are plenty of resources available for students.,4.8
7,700211300,There are plenty of resources available for students.,4.3
13,700320366,There are some issues with overcrowding in classrooms.,4.0
9,700270645,I appreciate the diversity and inclusivity at this school.,2.4
8,700220574,The school provides a safe and nurturing environment.,3.9
19,700111740,Staff are friendly and approachable.,4.1
12,700152058,There are plenty of resources available for students.,1.4
19,700400031,The school provides a safe and nurturing environment.,4.1
17,700400179,The school provides a safe and nurturing environment.,4.3
5,700400178,The curriculum is challenging and engaging.,1.3
13,700400180,"The school has great facilities, but the administration could improve.",3.2
10,700400212,I love the extracurricular activities offered here.,1.8
20,700251306,I would recommend this school to other parents.,3.7
6,700400010,There are some issues with overcrowding in classrooms.,1.3
17,700400423,The school's communication with parents is very effective.,2.8
11,700400424,"The school has great facilities, but the administration could improve.",1.4
19,700400149,The school community is very active and involved.,2.5
3,700910274,Some teachers need to improve their teaching methods.,1.0
17,700910276,"Overall, a great place for learning and growth.",3.3
10,700321927,My child enjoys going to this school every day.,4.0
7,700914251,There are plenty of resources available for students.,1.9
9,700251363,I love the extracurricular activities offered here.,4.1
5,700320457,The school's communication with parents is very effective.,2.5
19,700160028,There are some issues with overcrowding in classrooms.,3.6
11,700220608,"The school has great facilities, but the administration could improve.",3.6
12,700330837,The school has a good reputation in the area.,3.5
12,700340570,The cafeteria food could be better.,1.8
16,700260745,There are frequent updates about school events.,1.3
